,subject,trial,x_time,y
0,6,1,0.0,0
1,6,1,0.025,0
2,6,1,0.05,0
3,6,1,0.075,0
4,6,1,0.1,0
5,6,1,0.125,0
6,6,1,0.15,0
7,6,1,0.175,0
8,6,1,0.2,0
9,6,1,0.225,0
10,6,1,0.25,0
11,6,1,0.275,0
12,6,1,0.3,0
13,6,1,0.325,0
14,6,1,0.35,0
15,6,1,0.375,0
16,6,1,0.4,0
17,6,1,0.425,0
18,6,1,0.45,0
19,6,1,0.475,0
20,6,1,0.5,0
21,6,1,0.525,0
22,6,1,0.55,0
23,6,1,0.575,0
24,6,1,0.6,0
25,6,1,0.625,0
26,6,1,0.65,0
27,6,1,0.675,0
28,6,1,0.7,0
29,6,1,0.725,0
30,6,1,0.75,0
31,6,1,0.775,0
32,6,1,0.8,0
33,6,1,0.825,0
34,6,1,0.85,0
35,6,1,0.875,0
36,6,1,0.9,0
37,6,1,0.925,0
38,6,1,0.95,0
39,6,1,0.975,0
40,6,1,1.0,0
41,6,1,1.025,0
42,6,1,1.05,0
43,6,1,1.075,0
44,6,1,1.1,0
45,6,1,1.125,0
46,6,1,1.15,0
47,6,1,1.175,0
48,6,1,1.2,0
49,6,1,1.225,0
50,6,1,1.25,0
51,6,1,1.275,0
52,6,1,1.3,0
53,6,1,1.325,0
54,6,1,1.35,0
55,6,1,1.375,0
56,6,1,1.4,0
57,6,1,1.425,0
58,6,1,1.45,0
59,6,1,1.475,0
60,6,1,1.5,0
61,6,1,1.525,0
62,6,1,1.55,0
63,6,1,1.575,0
64,6,1,1.6,0
65,6,1,1.625,0
66,6,1,1.65,0
67,6,1,1.675,0
68,6,1,1.7,0
69,6,1,1.725,0
70,6,1,1.75,0
71,6,1,1.775,0
72,6,1,1.8,0
73,6,1,1.825,0
74,6,1,1.85,0
75,6,1,1.875,0
76,6,1,1.9,0
77,6,1,1.925,0
78,6,1,1.95,0
79,6,1,1.975,0
80,6,1,2.0,0
81,6,1,2.025,0
82,6,1,2.05,0
83,6,1,2.075,0
84,6,1,2.1,0
85,6,1,2.125,0
86,6,1,2.15,0
87,6,1,2.175,0
88,6,1,2.2,0
89,6,1,2.225,0
90,6,1,2.25,0
91,6,1,2.275,0
92,6,1,2.3,0
93,6,1,2.325,0
94,6,1,2.35,0
95,6,1,2.375,0
96,6,1,2.4,0
97,6,1,2.425,0
98,6,1,2.45,0
99,6,1,2.475,0
100,6,1,2.5,0
101,6,1,2.525,0
102,6,1,2.55,0
103,6,1,2.575,0
104,6,1,2.6,0
105,6,1,2.625,0
106,6,1,2.65,0
107,6,1,2.675,0
108,6,1,2.7,0
109,6,1,2.725,0
110,6,1,2.75,0
111,6,1,2.775,0
112,6,1,2.8,0
113,6,1,2.825,0
114,6,1,2.85,0
115,6,1,2.875,0
116,6,1,2.9,0
117,6,1,2.925,0
118,6,1,2.95,0
119,6,1,2.975,0
120,6,1,3.0,0
121,6,1,3.025,0
122,6,1,3.05,0
123,6,1,3.075,0
124,6,1,3.1,0
125,6,1,3.125,0
126,6,1,3.15,0
127,6,1,3.175,0
128,6,1,3.2,0
129,6,1,3.225,0
130,6,1,3.25,0
131,6,1,3.275,0
132,6,1,3.3,0
133,6,1,3.325,0
134,6,1,3.35,0
135,6,1,3.375,0
136,6,1,3.4,0
137,6,1,3.425,0
138,6,1,3.45,0
139,6,1,3.475,0
140,6,1,3.5,0
141,6,1,3.525,0
142,6,1,3.55,0
143,6,1,3.575,0
144,6,1,3.6,0
145,6,1,3.625,0
146,6,1,3.65,0
147,6,1,3.675,0
148,6,1,3.7,0
149,6,1,3.725,0
150,6,1,3.75,0
151,6,1,3.775,0
152,6,1,3.8,0
153,6,1,3.825,0
154,6,1,3.85,0
155,6,1,3.875,0
156,6,1,3.9,0
157,6,1,3.925,0
158,6,1,3.95,0
159,6,1,3.975,0
160,6,1,4.0,0
161,6,1,4.025,0
162,6,1,4.05,0
163,6,1,4.075,0
164,6,1,4.1,0
165,6,1,4.125,0
166,6,1,4.15,0
167,6,1,4.175,0
168,6,1,4.2,0
169,6,1,4.225,0
170,6,1,4.25,0
171,6,1,4.275,0
172,6,1,4.3,0
173,6,1,4.325,0
174,6,1,4.35,0
175,6,1,4.375,0
176,6,1,4.4,0
177,6,1,4.425,0
178,6,1,4.45,0
179,6,1,4.475,0
180,6,1,4.5,0
181,6,1,4.525,0
182,6,1,4.55,0
183,6,1,4.575,0
184,6,1,4.6,0
185,6,1,4.625,0
186,6,1,4.65,0
187,6,1,4.675,0
188,6,1,4.7,0
189,6,1,4.725,0
190,6,1,4.75,0
191,6,1,4.775,0
192,6,1,4.8,0
193,6,1,4.825,0
194,6,1,4.85,0
195,6,1,4.875,0
196,6,1,4.9,0
197,6,1,4.925,0
198,6,1,4.95,0
199,6,1,4.975,0
200,6,1,5.0,0
201,6,1,5.025,0
202,6,1,5.05,0
203,6,1,5.075,0
204,6,1,5.1,0
205,6,1,5.125,0
206,6,1,5.15,0
207,6,1,5.175,0
208,6,1,5.2,0
209,6,1,5.225,0
210,6,1,5.25,0
211,6,1,5.275,0
212,6,1,5.3,0
213,6,1,5.325,0
214,6,1,5.35,0
215,6,1,5.375,0
216,6,1,5.4,0
217,6,1,5.425,0
218,6,1,5.45,0
219,6,1,5.475,0
220,6,1,5.5,0
221,6,1,5.525,0
222,6,1,5.55,0
223,6,1,5.575,0
224,6,1,5.6,0
225,6,1,5.625,0
226,6,1,5.65,0
227,6,1,5.675,0
228,6,1,5.7,0
229,6,1,5.725,0
230,6,1,5.75,0
231,6,1,5.775,0
232,6,1,5.8,0
233,6,1,5.825,0
234,6,1,5.85,0
235,6,1,5.875,0
236,6,1,5.9,0
237,6,1,5.925,0
238,6,1,5.95,0
239,6,1,5.975,0
240,6,1,6.0,0
241,6,1,6.025,0
242,6,1,6.05,0
243,6,1,6.075,0
244,6,1,6.1,0
245,6,1,6.125,0
246,6,1,6.15,0
247,6,1,6.175,0
248,6,1,6.2,0
249,6,1,6.225,0
250,6,1,6.25,0
251,6,1,6.275,0
252,6,1,6.3,0
253,6,1,6.325,0
254,6,1,6.35,0
255,6,1,6.375,0
256,6,1,6.4,0
